Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-12-04,The Boat That Rocked,2009,https://boxd.it/7XNbrx,,,,2022-10-18
2024-12-04,Pet Sematary,2019,https://boxd.it/7XNbrn,,,,2022-10-23
2024-12-04,Deep Red,1975,https://boxd.it/7XNbrd,,,,2022-10-29
2024-12-04,Anastasia,1997,https://boxd.it/7XNbr3,,,,2022-10-30
2024-12-04,French Fried Vacation,1978,https://boxd.it/7XNbqT,,,,2022-11-01
2024-12-04,The Proposal,2009,https://boxd.it/7XNbqJ,,,,2022-11-11
2024-12-04,Moulin Rouge!,2001,https://boxd.it/7XNbqz,,,,2022-11-22
2024-12-04,The Greatest Showman,2017,https://boxd.it/7XNbqp,,,,2022-11-26
2024-12-04,Nightmare Alley,2021,https://boxd.it/7XNbqf,,,,2022-11-28
2024-12-04,Drive,2011,https://boxd.it/7XNbq5,,,,2022-12-04
2024-12-04,Uncharted,2022,https://boxd.it/7XNbpV,,,,2022-12-05
2024-12-04,Home Alone 2: Lost in New York,1992,https://boxd.it/7XNbph,,Yes,,2022-12-10
2024-12-04,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/7XNbp7,,,,2022-12-11
2024-12-04,The Lord of the Rings: The Two Towers,2002,https://boxd.it/7XNboX,,,,2022-12-16
2024-12-04,Avatar: The Way of Water,2022,https://boxd.it/7XNboD,,,,2022-12-17
2024-12-04,The Lord of the Rings: The Return of the King,2003,https://boxd.it/7XNboN,,,,2022-12-17
2024-12-04,The Hobbit: An Unexpected Journey,2012,https://boxd.it/7XNboj,,,,2022-12-23
2024-12-04,First Man,2018,https://boxd.it/7XNbot,,,,2022-12-23
2024-12-04,The Hobbit: The Desolation of Smaug,2013,https://boxd.it/7XNbo9,,,,2022-12-24
2024-12-04,The Hobbit: The Battle of the Five Armies,2014,https://boxd.it/7XNbnZ,,,,2022-12-25
2024-12-04,Glass Onion,2022,https://boxd.it/7XNbnF,,,,2022-12-26
2024-12-04,Knives Out,2019,https://boxd.it/7YagYH,4,,,2022-12-26
2024-12-04,"tick, tick... BOOM!",2021,https://boxd.it/7XNbnv,,,,2022-12-27
2024-12-04,No Time to Die,2021,https://boxd.it/7XNbnb,,,,2022-12-28
2024-12-04,Would I Lie to You?,1997,https://boxd.it/7YaduT,2.5,,,2023-01-15
2024-12-04,Babylon,2022,https://boxd.it/7XNbmR,,,,2023-01-18
2024-12-04,Almost Famous,2000,https://boxd.it/7XNbmx,,,,2023-01-28
2024-12-04,La Belle Époque,2019,https://boxd.it/7XNbmn,,,,2023-02-01
2024-12-04,Elvis,2022,https://boxd.it/7XNbmd,,,,2023-02-09
2024-12-04,Blade,1998,https://boxd.it/7XNbm3,,,,2023-02-18
2024-12-04,Lady Bird,2017,https://boxd.it/7XNblJ,,,,2023-03-11
2024-12-04,Dune,2021,https://boxd.it/7XNblT,,Yes,,2023-03-11
2024-12-04,It Boy,2013,https://boxd.it/7XNblz,,,,2023-03-19
2024-12-04,Bad Boys,1995,https://boxd.it/7XNblp,,,,2023-03-23
2024-12-04,The Fabelmans,2022,https://boxd.it/7XNbkL,,,,2023-04-02
2024-12-04,Rocketman,2019,https://boxd.it/7XNbkB,,,,2023-04-18
2024-12-04,Pulp Fiction,1994,https://boxd.it/7XNbkr,,,,2023-04-28
2024-12-04,Death Proof,2007,https://boxd.it/7XNbkh,,,,2023-05-29
2024-12-04,Forever Young,2022,https://boxd.it/7XNbk7,,,,2023-06-04
2024-12-04,John Wick,2014,https://boxd.it/7XNbjX,,,,2023-06-11
2024-12-04,John Wick: Chapter 2,2017,https://boxd.it/7XNbjD,,,,2023-07-01
2024-12-04,A Star Is Born,2018,https://boxd.it/7XNbjN,,,,2023-07-01
2024-12-04,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/7XNbjt,,,,2023-07-02
2024-12-04,Indiana Jones and the Dial of Destiny,2023,https://boxd.it/7XNbjj,,,,2023-07-07
2024-12-04,John Wick: Chapter 4,2023,https://boxd.it/7XNbj9,,,,2023-07-12
2024-12-04,Licorice Pizza,2021,https://boxd.it/7XNbiZ,,,,2023-07-15
2024-12-04,The Wolf of Wall Street,2013,https://boxd.it/7XNbiP,,,,2023-07-18
2024-12-04,The Big Short,2015,https://boxd.it/7XNbiF,,,,2023-07-19
2024-12-04,Ford v Ferrari,2019,https://boxd.it/7XNbiv,,,,2023-07-20
2024-12-04,The Fighter,2010,https://boxd.it/7XNbib,,,,2023-07-21
2024-12-04,Taxi Driver,1976,https://boxd.it/7XNbil,,Yes,,2023-07-21
2024-12-04,The 40 Year Old Virgin,2005,https://boxd.it/7XNbhR,,,,2023-07-22
2024-12-04,The Prestige,2006,https://boxd.it/7XNbhx,,,,2023-07-24
2024-12-04,"Someone, Somewhere",2019,https://boxd.it/7XNbhH,,,,2023-07-24
2024-12-04,Vice,2018,https://boxd.it/7XNbhd,,,,2023-07-25
2024-12-04,A Perfect Man,2015,https://boxd.it/7XNbhn,,,,2023-07-25
2024-12-04,Triangle of Sadness,2022,https://boxd.it/7XNbh3,,,,2023-07-26
2024-12-04,Memento,2000,https://boxd.it/7XNbgT,,,,2023-07-27
2024-12-04,The Wolf's Call,2019,https://boxd.it/7XNbgJ,,,,2023-07-28
2024-12-04,Inception,2010,https://boxd.it/7XNbfB,,Yes,,2023-07-29
2024-12-04,The French Minister,2013,https://boxd.it/7XNbfL,,,,2023-07-29
2024-12-04,Tenet,2020,https://boxd.it/7XNbfr,,,,2023-08-25
2024-12-04,Nightcrawler,2014,https://boxd.it/7XNbfh,,,,2023-09-16
2024-12-04,Delicious,2021,https://boxd.it/7XNbf7,,,,2023-09-17
2024-12-04,The World's End,2013,https://boxd.it/7XNbeX,,,,2023-09-23
2024-12-04,Rush,2013,https://boxd.it/7XNbeN,,,,2023-09-29
2024-12-04,Dallas Buyers Club,2013,https://boxd.it/7XNbeD,,,,2023-10-09
2024-12-04,What's in a Name,2012,https://boxd.it/7XNbet,,,,2023-10-23
2024-12-04,Hot Fuzz,2007,https://boxd.it/7XNbe9,,,,2023-10-26
2024-12-04,Shaun of the Dead,2004,https://boxd.it/7XNbej,,,,2023-10-26
2024-12-04,Love at Second Sight,2019,https://boxd.it/7XNbdZ,,,,2023-10-27
2024-12-04,Back to Burgundy,2017,https://boxd.it/7XNbdP,,,,2023-10-28
2024-12-04,The Stronghold,2021,https://boxd.it/7XNbdF,,,,2023-10-29
2024-12-04,Rise,2022,https://boxd.it/7XNbdv,,,,2023-11-01
2024-12-04,The Spanish Apartment,2002,https://boxd.it/7XNbdl,,,,2023-11-12
2024-12-04,Russian Dolls,2005,https://boxd.it/7XNbdb,,,,2023-11-13
2024-12-04,Chinese Puzzle,2013,https://boxd.it/7XNbd1,,,,2023-11-25
2024-12-04,Kyan Khojandi : Une bonne soirée,2023,https://boxd.it/7XNbcR,,,,2023-11-26
2024-12-04,Tenor,2022,https://boxd.it/7XNbmH,,,,2023-11-27
2024-12-04,Barbie,2023,https://boxd.it/7XNbcH,,,,2023-12-10
2024-12-04,Wonka,2023,https://boxd.it/7XNbcx,,,,2023-12-21
2024-12-04,Oppenheimer,2023,https://boxd.it/7XNbbJ,,,,2023-12-23
2024-12-04,Daniel Sloss: Socio,2022,https://boxd.it/7XNbcd,,,,2023-12-23
2024-12-04,Daniel Sloss: X,2019,https://boxd.it/7XNbcn,,,,2023-12-23
2024-12-04,Machete,2010,https://boxd.it/7XNbbz,,,,2023-12-28
2024-12-04,Anatomy of a Fall,2023,https://boxd.it/7XNbbp,,Yes,,2024-01-14
2024-12-04,Making Of,2023,https://boxd.it/7Ya4kZ,,,,2024-01-17
2024-12-04,Paris,2008,https://boxd.it/7XNbaV,,,,2024-01-21
2024-12-04,Poor Things,2023,https://boxd.it/7XNbaB,,Yes,,2024-01-31
2024-12-04,French Fried Vacation 2,1979,https://boxd.it/7XNbar,,Yes,,2024-02-01
2024-12-04,Killers of the Flower Moon,2023,https://boxd.it/7XNbah,,,,2024-02-02
2024-12-04,The Holdovers,2023,https://boxd.it/7XNba7,,,,2024-02-04
2024-12-04,Gran Turismo,2023,https://boxd.it/7XNb9X,,,,2024-02-10
2024-12-04,My Sole Desire,2022,https://boxd.it/7XNb9N,,,,2024-02-11
2024-12-04,All of Us Strangers,2023,https://boxd.it/7XNb9D,,,,2024-02-25
2024-12-04,Maestro,2023,https://boxd.it/7XNb9t,,,,2024-02-26
2024-12-04,Yannick,2023,https://boxd.it/7XNb99,,,,2024-02-28
2024-12-04,Junkyard Dog,2023,https://boxd.it/7XNb9j,,,,2024-02-28
2024-12-04,The Zone of Interest,2023,https://boxd.it/7XNb8Z,,,,2024-02-29
2024-12-04,Past Lives,2023,https://boxd.it/7XNb8P,,,,2024-03-03
2024-12-04,Dune,2021,https://boxd.it/7XNb8v,,,,2024-03-07
2024-12-04,American Fiction,2023,https://boxd.it/7XNb8F,,,,2024-03-07
2024-12-04,Dune: Part Two,2024,https://boxd.it/7XNb8l,,,,2024-03-13
2024-12-04,Anatomy of a Fall,2023,https://boxd.it/7XNb8b,,,,2024-03-19
2024-12-04,(500) Days of Summer,2009,https://boxd.it/7XNb81,,,,2024-03-20
